NRIC,year,yearly_income,tax_paid,house_rebate,child_rebate,education_rebate
G5779247L,2017,320000,6800,1000,1150,3300
G5337818K,2017,580000,10000,1300,350,5200
G970240J,2017,120000,7600,2400,1250,4100
G1337132L,2017,990000,5700,700,300,1500
G5359442K,2017,90000,3300,600,650,800
G1178759K,2017,520000,6000,600,250,5100
G1368255J,2017,810000,6000,2400,650,1800
G4467400J,2017,920000,6300,2400,200,200
G4345720A,2017,240000,2000,1100,200,1300
G1311203K,2017,740000,2400,400,550,1500
G5670824B,2017,290000,3200,2000,550,4600
G4023277L,2017,460000,3000,1300,550,4300
G1759635A,2017,70000,1500,2500,250,1100
G257144L,2017,170000,9700,400,100,4400
G2244293J,2017,450000,700,1400,200,4300
G5887032L,2017,580000,6900,2000,250,4000
G5921498K,2017,380000,8200,1900,500,3500
G4816819L,2017,50000,9900,600,500,1900
G3272173K,2017,980000,5400,300,950,900
G3366438J,2017,640000,2700,500,0,2600
G474224X,2017,950000,6800,100,750,5400
G5688557K,2017,520000,7600,2000,0,2300
G1703705J,2017,60000,5500,400,650,1100
G1507466L,2017,420000,6600,400,200,600
G1012880B,2017,960000,5800,800,450,5300
G3770185J,2017,570000,9700,2200,700,4000
G3680020L,2017,850000,2400,600,1200,0
G5569002K,2017,210000,1400,0,350,5500
G1692227X,2017,240000,3200,1300,650,3700
G1688732A,2017,320000,2600,1800,400,400
G3376315J,2017,180000,1100,200,250,100
G1586033B,2017,350000,4000,2200,350,5400
G3366103K,2017,780000,9200,1000,200,1600
G1135158J,2017,650000,9700,2300,850,3100
G5858113L,2017,170000,5500,1500,750,1300
G5204441B,2017,360000,8000,1900,1150,300
G3953061K,2017,870000,9500,100,1200,1800
G5187962A,2017,800000,7900,800,350,2500
G4614486L,2017,990000,5600,2300,750,1500
G2158826J,2017,550000,5100,900,1250,1800
G2006988X,2017,120000,800,1300,650,5100
G1562479L,2017,380000,5100,2300,600,2000
G5977812A,2017,170000,2300,1400,800,1600
G233706X,2017,270000,900,2100,600,300
G2001114L,2017,630000,9300,2400,100,2400
G4488887B,2017,470000,4100,1200,900,600
G5359292X,2017,960000,1600,1200,950,2700
G4017540L,2017,260000,2300,1600,850,4400
G4665402A,2017,930000,8300,2400,750,700
G773085K,2017,500000,5300,700,150,1800
G807821L,2017,40000,2700,2500,1050,4500
G2614105A,2017,120000,2700,1300,1150,4000
G295677X,2017,900000,5900,1200,150,2500
G5051031J,2017,640000,1200,700,250,4800
G2745574L,2017,900000,2800,1600,350,3000
G1147657L,2017,600000,7800,2500,500,2100
G970208K,2017,60000,5500,800,1200,4400
G4980424A,2017,130000,9200,1500,1050,1000
G5895901J,2017,790000,1100,1100,1000,3500
G5529535B,2017,650000,7400,2200,1000,1700
G3952305L,2017,670000,9100,900,850,300
G5614051J,2017,850000,5100,400,850,1600
G3665122L,2017,720000,6100,700,150,2900
G3350604K,2017,840000,2300,1800,150,0
G2801272L,2017,420000,9400,1600,600,3700
G1195373J,2017,110000,8200,1300,550,5100
G5732730L,2017,640000,7700,100,100,2300
G5122335A,2017,260000,9600,1400,1200,4300
G5076740B,2017,40000,3300,2400,950,3800
G803842K,2017,80000,1600,2300,700,1100
G1819805B,2017,280000,8300,1000,1050,1900
G2313520K,2017,770000,2400,2500,950,5300
G3459665L,2017,390000,7700,1800,950,1100
G4067829K,2017,430000,6800,2400,0,900
G3798892K,2017,940000,9900,2100,350,4200
G1552532B,2017,810000,5600,400,1150,1300
G5353246A,2017,910000,1300,800,1100,2900
G1977675L,2017,980000,600,1500,1050,3800
G2200356L,2017,40000,9400,1900,1200,5100
G400490L,2017,60000,8800,1900,100,5200
G4533445X,2017,560000,4100,600,450,3600
G1174936L,2017,830000,2500,900,1200,4300
G5877506L,2017,820000,500,1400,50,4100
G4029170L,2017,360000,2100,400,1050,5100
G2747619J,2017,190000,1200,1700,1150,2800
G290846L,2017,740000,4300,1800,150,1300
G2054332X,2017,470000,9200,100,150,2100
G1172842A,2017,580000,6900,1200,550,4400
G4525882K,2017,470000,5600,2500,50,100
G379602J,2017,370000,2300,0,500,5100
G5510726A,2017,70000,8300,600,850,4600
G524086A,2017,690000,9500,900,1150,1400
G1371700K,2017,920000,8900,900,650,5500
G3106999X,2017,510000,9500,2500,500,2800
G870054L,2017,940000,6400,600,1200,4800
G1267967X,2017,500000,3300,2500,600,3000
G4973369A,2017,550000,7700,1500,350,3100
G3583326L,2017,320000,8400,1400,1200,1700
G711141L,2017,100000,2000,1300,100,5000
G1844144J,2017,790000,1200,2200,150,500
G5714967K,2017,820000,2500,1800,50,3600
G3337826L,2017,50000,6000,2500,300,1600
G4341766X,2017,970000,5500,1400,1200,1200
G2904397X,2017,470000,1200,200,50,5300
G5888463L,2017,260000,4500,200,400,2500
G2735872L,2017,980000,2100,2100,850,3800
G896562K,2017,640000,3000,1300,850,5100
G3482845K,2017,810000,1700,2100,150,3300
G2248376L,2017,680000,9200,100,1250,800
G2992355X,2017,360000,3900,2300,400,500
G3943723L,2017,650000,9200,1100,350,5100
G5279326L,2017,40000,3800,1600,250,3800
G2407965J,2017,890000,4300,700,450,5000
G4439391K,2017,380000,1700,2300,300,4800
G2736602J,2017,90000,9600,1600,150,3300
G1377807L,2017,290000,3200,1800,650,1500
G4559922L,2017,630000,4700,300,1100,1000
G4466444A,2017,90000,4600,700,1200,2800
G4944363K,2017,280000,7900,1200,1200,2600
G1384930X,2017,310000,2400,500,800,3800
G4102128K,2017,570000,8500,700,1200,5400
G717307J,2017,260000,5700,500,1200,1000
G4475606L,2017,770000,1900,700,650,5300
G4873965X,2017,740000,9000,2300,250,5300
G1305696A,2017,750000,9600,1300,800,3200
G1627426A,2017,240000,6100,2500,1200,2600
G2852825B,2017,570000,6400,800,1000,3200
G3227202B,2017,760000,3700,1500,1250,2300
G2129172L,2017,940000,5500,1300,500,5400
G1224530A,2017,570000,4800,700,800,2100
G3562895X,2017,960000,8300,400,50,900
G1450679X,2017,950000,7700,2000,250,4000
G1605260L,2017,760000,3200,500,1000,1200
G4970168L,2017,840000,4700,0,1050,3500
G5260915K,2017,480000,3400,2500,500,3700
G4706323J,2017,650000,800,1000,850,4700
G3833250L,2017,900000,9700,1900,300,5000
G4141911L,2017,180000,700,2300,1050,5300
G1816284B,2017,270000,7700,1600,200,1500
G3769485K,2017,760000,5200,700,1100,4100
G997553L,2017,200000,6200,1200,900,2700
G1876842X,2017,210000,1300,2400,800,3400
G3477092K,2017,410000,6900,2400,100,2300
G5048213K,2017,60000,5600,0,1000,2800
G1839573A,2017,960000,3500,0,900,4000
G5298170K,2017,920000,4900,2200,350,4300
G1886927K,2017,620000,300,2000,1200,3400
G3412143L,2017,630000,9600,2000,300,3100
G4483111L,2017,560000,3100,400,850,1700
G1601240B,2017,220000,8400,2100,1200,4300
G4266450L,2017,1000000,400,2100,200,2600
G2921423K,2017,670000,7200,1900,850,5300
G5027873K,2017,110000,9000,400,650,500
G3415039L,2017,920000,1100,1400,500,4000
G1369833K,2017,90000,8700,1200,400,2600
G1787147K,2017,860000,9100,1900,950,2900
G1041902X,2017,650000,2500,1200,950,5100
G3294467B,2017,40000,4800,900,750,2400
G1086477X,2017,310000,3800,1400,800,4200
G4945102K,2017,900000,4800,2300,650,3300
G572903K,2017,640000,7200,200,700,2300
G2509477L,2017,420000,2800,200,1150,3100
G4486863A,2017,490000,6100,1000,850,5100
G452112X,2017,340000,5200,2100,300,5500
G2938615K,2017,390000,7700,2100,850,4500
G1243705J,2017,550000,3400,800,950,4200
G4604685A,2017,60000,700,2500,1050,2600
G2313089X,2017,80000,400,2400,750,4300
G5783776K,2017,730000,7600,1100,600,600
G2848643B,2017,380000,800,1600,650,4100
G2447571K,2017,450000,7000,1700,600,3100
G3229637K,2017,880000,1800,600,100,1100
G4190028L,2017,690000,6300,300,1250,1600
G1183327K,2017,260000,5400,1000,1050,1600
G5664699J,2017,320000,4000,200,150,2900
G2849787A,2017,890000,2300,700,550,2200
G982849L,2017,230000,7900,2400,850,5300
G440031K,2017,960000,5500,100,1100,3300
G1841333X,2017,130000,1400,1300,250,5100
G2529236L,2017,370000,8900,1700,800,3200
G1668457K,2017,340000,2500,0,300,1200
G1743330A,2017,580000,5700,0,800,4600
G4322700K,2017,590000,3600,2200,1100,2200
G5065583L,2017,130000,2700,2300,950,200
G1717232K,2017,160000,8200,400,1050,2200
G831223J,2017,300000,5300,1000,1050,5000
G1304501B,2017,410000,7900,700,550,1600
G5373262L,2017,180000,8700,100,1100,3900
G1693520L,2017,190000,5800,1600,100,3700
G5759395J,2017,210000,1300,1000,1000,2800
G4526230X,2017,140000,1500,200,750,1500
G2495572L,2017,150000,3100,600,600,3900
G2753663A,2017,170000,1600,1100,1000,1300
G5967678X,2017,1000000,7900,1400,750,5300
G311328X,2017,450000,7400,2100,550,3700
G5475234K,2017,240000,6900,800,650,2300
G5088236J,2017,180000,3300,900,1250,3600
G1254406X,2017,730000,1100,1500,150,2600
G3965852K,2017,110000,5600,1200,950,5200
G3880828L,2017,410000,6700,1400,450,5200
G5225357B,2017,270000,2100,500,950,4100
G4139854A,2017,490000,4900,1900,600,5000
G4932335X,2017,190000,9400,2100,1100,400
G3755130J,2017,400000,2000,1700,150,2400
G4170367A,2017,980000,7000,1600,100,600
G2953215L,2017,520000,8700,1600,200,2400
G5783607L,2017,870000,3700,2000,850,700
G1488422A,2017,160000,300,1100,800,400
G599630L,2017,610000,6300,0,1150,1400
G5691603K,2017,430000,8500,0,450,900
G5942972B,2017,280000,7000,1800,600,2200
G4182862X,2017,800000,4000,600,300,1000
G3606688K,2017,360000,600,1800,900,3800
G1418850L,2017,460000,5400,1900,1050,2000
G3718271B,2017,140000,9100,1000,700,2900
G4008008B,2017,430000,700,400,700,2400
G5624554X,2017,740000,1400,2300,750,4100
G2509416L,2017,230000,9300,0,750,5500
G2959362J,2017,890000,6600,200,1150,1500
G4011038L,2017,320000,7900,500,1000,1200
G2353010L,2017,400000,8700,600,300,3600
G4138864A,2017,640000,6200,1200,350,400
G4888803K,2017,650000,7200,2400,200,0
G2818415K,2017,230000,3200,800,900,4300
G3428961A,2017,90000,9600,2100,450,2600
G4092973X,2017,370000,5400,1000,0,1300
G677576L,2017,650000,4000,1700,1100,3700
G4644910B,2017,480000,3000,2400,150,5000
G3717226L,2017,750000,2200,100,200,4700
G5486427J,2017,910000,8500,1300,200,2300
G3373493K,2017,210000,5600,800,450,3400
G2581075K,2017,850000,2800,1400,500,4900
G4506718A,2017,970000,8900,1500,150,1000
G5324220J,2017,630000,5900,900,350,1500
G3627167J,2017,660000,5100,1100,1200,2400
G5919875B,2017,120000,8000,2400,950,2400
G3243958J,2017,750000,5100,1900,150,300
G4360297B,2017,660000,7600,600,700,2900
G3392562L,2017,500000,2800,1600,350,4400
G394204B,2017,380000,5700,300,1100,5100
G959502L,2017,570000,300,2300,300,4600
G1107311L,2017,220000,700,100,450,400
G2075603K,2017,380000,2600,700,1050,2800
G1338067L,2017,940000,800,1800,300,3700
G4925076L,2017,270000,8600,2100,250,4300
G3917486B,2017,70000,6800,0,450,3900
G2477872L,2017,210000,5500,1600,50,3500
G5116046A,2017,890000,4900,700,900,3800
G569784K,2017,730000,5600,1200,250,4100
G2170889K,2017,630000,9200,200,100,2200
G4064492K,2017,750000,1800,2300,500,700
G3907881L,2017,530000,7200,1500,1100,3300
G3175162K,2017,680000,8700,1800,0,3100
G1557925L,2017,750000,3000,1200,700,0
G4728939K,2017,590000,2500,300,850,2300
G4039272L,2017,290000,9000,1700,250,4800
G1463556K,2017,240000,1400,1100,500,1600
G3965913A,2017,760000,5000,1300,850,300
G770700L,2017,570000,6400,900,650,1800
G5706315X,2017,630000,6300,1000,300,2600
G4120244X,2017,110000,6500,1600,700,4300
G2524731B,2017,520000,1800,1900,900,2400
G2884463A,2017,870000,6400,1000,150,300
G4629053K,2017,910000,4300,500,150,3700
G5801331J,2017,910000,6700,1900,1000,4500
G2833430J,2017,910000,8000,2300,400,4600
G4532139B,2017,540000,9900,300,850,5000
G4088301B,2017,890000,7300,2200,1050,4500
G4630117J,2017,280000,800,2000,1100,4100
G5951871L,2017,770000,8900,800,850,2700
G2527525L,2017,810000,3500,1200,1200,1100
G1250798K,2017,980000,7800,1300,250,2600
G2529722K,2017,370000,2700,2100,550,3800
G1730676L,2017,380000,6900,1700,650,5300
G5274012J,2017,870000,1100,1000,1250,3700
G3894494L,2017,460000,5900,1100,150,2000
G2231782L,2017,640000,6800,2200,250,2100
G1429751L,2017,510000,9500,100,250,3700
G5958375K,2017,390000,2000,600,550,2600
G668212K,2017,840000,2700,1200,1000,1400
G4666960K,2017,330000,800,2500,1050,1900
G1314369X,2017,1000000,6400,100,350,2200
G3307392X,2017,930000,3600,1800,900,1000
G991095K,2017,480000,7300,1400,750,1700
G5457424J,2017,370000,4200,1600,250,4500
G1791330L,2017,410000,7800,2000,900,2400
G1767094B,2017,620000,4000,2200,800,4700
G2991241L,2017,790000,2200,2100,1200,1400
G1668813L,2017,720000,9100,1000,250,2500
G2580242J,2017,380000,4500,1800,800,1800
G1000731L,2017,310000,900,2000,400,900
G1535095L,2017,800000,5400,900,200,4900
G4533788L,2017,120000,5200,1700,1100,4600
G2431868K,2017,390000,5800,2000,1200,3800
G4504479L,2017,60000,9000,1500,300,1300
G550167J,2017,100000,4500,100,50,1600
G4754853K,2017,500000,6900,1000,900,3900
G3050722J,2017,240000,8500,300,450,2800
G4809036L,2017,350000,300,2400,850,200
G3071606A,2017,250000,4900,2300,700,2400
G5481258B,2017,320000,2500,2500,300,2000
G4323811A,2017,750000,8100,200,400,2500
G2685592J,2017,580000,5100,1200,0,5400
G2076456J,2017,590000,5200,0,500,1000
G2980006L,2017,540000,9300,0,450,300
G492375K,2017,80000,600,2300,750,1300
G4646731J,2017,660000,2300,2200,250,2700
G5511112K,2017,590000,700,1100,1200,5500
G5034284X,2017,720000,6200,1500,250,3400
G4992407X,2017,320000,8000,1300,650,1400
G600126L,2017,420000,1900,1000,1100,200
G3550641K,2017,90000,3200,600,150,1700
G2213457K,2017,430000,3500,2000,1250,2500
G3988465B,2017,370000,300,800,1050,3100
G3270801K,2017,300000,8000,1700,450,900
G646770L,2017,1000000,1900,1700,1000,4400
G431464K,2017,910000,7700,2300,200,1300
G5758825J,2017,880000,7100,1800,400,1500
G390901K,2017,890000,6400,1600,0,1500
G4512771B,2017,190000,1200,2500,650,300
G4505928J,2017,80000,6300,500,300,2600
G1285682J,2017,350000,10000,2200,950,200
G5127357K,2017,670000,9200,100,850,3000
G5172116K,2017,260000,2700,800,1150,1000
G3080424L,2017,330000,1800,1700,350,4900
G5974877J,2017,860000,9500,600,900,3800
G792537L,2017,160000,3300,2100,800,2500
G1604821B,2017,210000,2100,2200,650,2300
G1189676X,2017,80000,7600,0,500,2100
G3467832B,2017,620000,4200,1400,200,1200
G3136693K,2017,440000,10000,0,900,5100
G2584072K,2017,250000,7100,2100,650,4300
G5209122K,2017,460000,3200,2200,200,400
G1156818A,2017,670000,8600,400,750,5100
G855621K,2017,550000,2300,2100,1050,3600
G292228X,2017,560000,900,1200,700,4600
G5074679K,2017,740000,7400,0,700,700
G5086226K,2017,590000,7000,1400,1000,3700
G2384168J,2017,690000,10000,500,700,1300
G2699186L,2017,380000,9600,100,750,600
G3908702J,2017,930000,2200,2100,150,1400
G5407633L,2017,220000,5500,2300,600,3300
G5466522K,2017,850000,7200,2500,900,4500
G823174L,2017,510000,9100,1900,250,1000
G1951567A,2017,680000,1000,900,100,4700
G5207619K,2017,590000,7400,600,800,900
G1902875L,2017,690000,8300,900,700,5400
G2807940L,2017,900000,700,1400,1200,500
G3589876K,2017,190000,4800,1300,1150,2900
G3781141B,2017,540000,2800,800,750,500
G1228584K,2017,650000,4500,400,400,2500
G1982953K,2017,570000,2000,200,650,1700
G2721634L,2017,190000,3300,400,1000,3300
G2019800B,2017,870000,4300,1600,500,4000
G1615723J,2017,570000,4800,1600,750,3300
G2714535L,2017,540000,9800,2000,100,2900
G3221135L,2017,210000,8900,1600,1100,200
G388320A,2017,950000,4600,300,750,3100
G5437346K,2017,660000,2200,2100,50,3100
G5676537K,2017,660000,1600,1100,200,1400
G4122084K,2017,350000,6800,500,650,5400
G3123246B,2017,220000,6000,1700,1150,3000
G4838113L,2017,280000,4400,700,100,2600
G1791734K,2017,780000,8500,2400,0,1500
G595081K,2017,310000,1400,1500,400,5400
G635859L,2017,860000,4600,1600,900,3200
G3396338K,2017,700000,6000,1600,1150,1600
G2514485B,2017,840000,1000,700,1050,5500
G4162714J,2017,470000,8500,1300,500,2900
G3667008K,2017,850000,1400,1000,1250,3900
G443079X,2017,580000,3900,1100,1200,2700
G5267427K,2017,240000,4000,1300,300,2000
G5441932A,2017,620000,300,2300,550,1700
G5112374K,2017,500000,6900,1900,350,4800
G3824086J,2017,60000,500,900,1050,2200
G2149960J,2017,590000,8800,2400,800,100
G2687966B,2017,550000,4300,1200,1100,700
G2345826B,2017,690000,5700,1800,250,4100
G1410827A,2017,730000,6100,1000,1150,4900
G1258218X,2017,960000,2500,1000,650,4000
G5999230X,2017,270000,3100,1600,900,700
G1699344L,2017,450000,400,2500,0,4800
G4008388L,2017,270000,6200,600,150,2700
G4155170X,2017,660000,2600,500,350,3800
G3542906L,2017,100000,7900,700,350,2500
G974775K,2017,860000,8600,700,900,1600
G5994533K,2017,660000,5200,1300,1150,3100
G3707589J,2017,650000,6500,1000,1250,2700
G2366919L,2017,940000,5500,200,1200,800
G610836A,2017,320000,7800,1900,1000,700
G3173501L,2017,220000,5600,400,1050,3300
G3221325L,2017,690000,6600,200,750,4400
G4397789K,2017,170000,3300,900,1200,3100
G5391515B,2017,700000,2800,1400,750,700
G1803427K,2017,340000,4900,1400,600,3600
G301375B,2017,400000,1500,1600,750,4600
G2120388X,2017,400000,900,2400,1250,2900
G3079870L,2017,520000,900,400,800,3400
G4178145X,2017,690000,5400,2100,1000,5200
G4096202L,2017,1000000,400,500,800,3600
G2915590X,2017,410000,9000,1800,750,2600
G3774116K,2017,810000,6600,2400,1200,1900
G3948075L,2017,550000,8900,100,200,3200
G5180160J,2017,370000,4000,1700,350,2000
G1667320B,2017,590000,8700,1600,850,3300
G3833377K,2017,530000,3600,1700,400,2500
G2169760A,2017,130000,8400,200,350,1100
G2186080B,2017,970000,5600,1200,150,5300
G5400290A,2017,720000,2100,2400,150,0
G1702381L,2017,750000,3900,1500,650,3600
G1620786K,2017,240000,4700,1900,1200,500
G3526353B,2017,210000,3000,2300,550,3700
G4023714J,2017,870000,600,600,150,4100
G2077856J,2017,480000,500,1000,900,2900
G5035491K,2017,40000,600,1100,950,100
G2882100X,2017,490000,1600,1700,1200,2500
G4241443K,2017,770000,8200,800,650,900
G4624088K,2017,380000,9800,200,0,2700
G5238075L,2017,70000,4700,2400,300,3700
G1527705K,2017,620000,2800,1000,1150,1700
G2234854X,2017,320000,2800,2400,1050,1900
G2326856J,2017,150000,7700,100,400,4400
G2525183L,2017,280000,7200,500,1150,5300
G1969478L,2017,280000,6000,1200,650,4900
G1068533K,2017,130000,8900,1800,1200,800
G5412237A,2017,80000,7700,600,900,1600
G5694925A,2017,90000,6200,700,1150,5300
G3934011J,2017,500000,1700,600,50,300
G1976644K,2017,450000,1500,800,1250,3500
G1607153L,2017,950000,9900,2400,500,1800
G3757758X,2017,1000000,2900,200,1250,4500
G4621919B,2017,1000000,5300,300,250,300
G5302398L,2017,720000,4900,600,800,3500
G4328619L,2017,910000,5700,500,900,3700
G589916L,2017,260000,6800,0,0,300
G1634362J,2017,760000,9800,1300,600,400
G2552414A,2017,880000,4100,1900,1100,3700
G2648192K,2017,580000,4800,800,1150,2600
G1921891L,2017,330000,2400,500,400,1300
G2149102X,2017,370000,9200,2300,0,3800
G5284860B,2017,160000,1200,1800,800,3800
G3141701J,2017,190000,7100,700,1150,3300
G5018395L,2017,280000,7300,2300,450,3500
G5181957K,2017,490000,4900,400,300,600
G448010B,2017,880000,3100,900,500,2700
G3162549X,2017,450000,1100,1300,1050,4100
G1703075K,2017,620000,2000,700,900,1200
G3042532A,2017,990000,4100,0,400,100
G4248506K,2017,150000,2500,1700,450,1800
G4152527L,2017,250000,4400,0,500,600
G1741032J,2017,770000,9500,2400,300,1200
G328580L,2017,840000,5000,300,1200,1300
G3195430X,2017,890000,8700,1500,300,3100
G642943L,2017,920000,2400,1000,950,2100
G5565222X,2017,420000,7500,400,100,5400
G3881805L,2017,790000,10000,2300,350,1200
G4244364L,2017,750000,8700,0,700,900
G3324390J,2017,480000,7900,2400,900,1200
G2645098L,2017,450000,7000,100,1050,800
G1679066K,2017,270000,4300,500,600,4100
G1694190L,2017,830000,800,600,0,2200
G5798203J,2017,230000,5100,800,800,5000
G4422011X,2017,230000,1100,900,250,300
G3166674X,2017,550000,2800,1500,100,1600
G1969156K,2017,650000,7400,2100,550,2100
G2005981K,2017,960000,2700,1200,1150,3200
G4474954L,2017,210000,4300,1700,200,700
G2340883K,2017,390000,5700,700,0,3600
G2450628L,2017,380000,3100,2500,550,3200
G3298217B,2017,420000,2700,0,1150,5200
G2468678L,2017,320000,9500,1700,400,4400
G3308106K,2017,880000,5800,1000,900,2100
G1198837B,2017,420000,1400,1900,200,2100
G4515198A,2017,840000,1700,2500,1000,300
G1253238A,2017,960000,7200,400,850,2600
G618116B,2017,710000,6500,2500,350,3000
G3953774K,2017,250000,4500,1300,350,4000
G2421012K,2017,280000,900,700,950,4700
G2851673L,2017,570000,4300,1300,900,2300
G2617865K,2017,240000,5700,500,1050,3200
G3315478L,2017,100000,2500,500,800,900
G708359X,2017,280000,3200,1100,50,2600
G3565927X,2017,270000,5600,2000,100,1100
G4552579A,2017,650000,6200,2100,1000,5300
G5291679J,2017,400000,3400,1300,750,2600
G577003A,2017,580000,3800,800,550,600
G693637J,2017,560000,1600,1600,600,600
G2481033L,2017,660000,5600,2200,300,1400
G3561359A,2017,640000,7200,300,900,400
G4467527K,2017,540000,400,600,600,600
G3060982K,2017,970000,5600,1800,550,3600
G2938254K,2017,220000,7700,900,900,4700
G2767844J,2017,570000,9900,0,350,5000
G789587K,2017,460000,8600,200,100,2900
G4716665X,2017,140000,3100,1000,200,5100
G3107799A,2017,530000,600,2300,750,100
G5146585K,2017,620000,6800,1800,1250,3900
G1720197K,2017,900000,7400,2400,400,3000
G367534K,2017,380000,2600,1100,100,2700
G804590X,2017,740000,9900,200,700,3600
G1322789J,2017,480000,8600,1400,1250,2300
G5686721K,2017,640000,8800,800,100,1000
G3594450A,2017,570000,5200,1400,1100,1100
G4687848B,2017,160000,5800,800,650,400
G769536B,2017,560000,5700,1800,750,900
G4771297L,2017,40000,6500,900,1200,4400
G4808622L,2017,500000,9800,800,1200,2800
G1398404L,2017,820000,1400,2500,150,3700
G3894637L,2017,530000,6700,1100,350,2500
G5776255J,2017,380000,1800,1300,900,600
G2917117X,2017,490000,1200,300,200,4900
G5627429K,2017,910000,3500,500,500,3600
G2957457A,2017,990000,2900,2100,1250,4600
G819090X,2017,680000,9600,2500,1100,4000
G4715010A,2017,540000,8000,600,900,4600
G1377286K,2017,450000,6900,100,550,1600
G4707788A,2017,200000,300,2300,500,3500
G2631533K,2017,370000,6500,1100,0,900
G685224A,2017,640000,3000,1000,850,4700
G4414145A,2017,40000,4400,1000,850,400
G3745599B,2017,980000,8400,1300,750,2600
G5905890L,2017,590000,4900,2300,1000,3200
G2349276A,2017,460000,4000,200,400,0
G1628648K,2017,230000,2600,2200,650,4000
G2065539L,2017,410000,3200,2500,50,2600
G3306227J,2017,580000,3400,800,100,4100
G4365017B,2017,290000,7200,300,200,4200
G4980890L,2017,220000,2200,1300,850,2400
G1497703K,2017,800000,2900,200,50,5300
G3971900L,2017,410000,4500,100,1100,100
G672130A,2017,920000,1700,500,300,4800
G2911462L,2017,310000,600,1700,450,1600
G2628332K,2017,190000,2000,1400,700,600
G2171711K,2017,940000,1600,600,450,2800
G1916452X,2017,680000,8600,1100,500,3200
G5580089L,2017,110000,3000,2400,400,4900
